"Rank","Equity%","Price","Zestimate","EstSpread","Beds","Baths","SqFt","PPSF","Type","Address","ZillowURL"
"68","0%","199000","198500","-500","3","2","1144","174","House for sale","822 Apache Dr, Columbia, SC 29203","https://www.zillow.com/homedetails/822-Apache-Dr-Columbia-SC-29203/11674771_zpid/"
"69","0%","194900","194400","-500","3","2","1280","152","House for sale","324 Bombing Range Rd, Columbia, SC 29229","https://www.zillow.com/homedetails/324-Bombing-Range-Rd-Columbia-SC-29229/62990963_zpid/"
"70","0%","229900","229300","-600","4","3","1920","120","House for sale","303 Bassett Loop, Columbia, SC 29229","https://www.zillow.com/homedetails/303-Bassett-Loop-Columbia-SC-29229/71263732_zpid/"
"71","0%","260000","259300","-700","3","2","1764","147","House for sale","5 Durango Cir, Columbia, SC 29203","https://www.zillow.com/homedetails/5-Durango-Cir-Columbia-SC-29203/11712979_zpid/"
"72","0%","185000","184500","-500","3","1","1005","184","House for sale","137 Westbridge Rd, Columbia, SC 29223","https://www.zillow.com/homedetails/137-Westbridge-Rd-Columbia-SC-29223/11722270_zpid/"
"73","0%","289500","288700","-800","4","3","2318","125","House for sale","124 Farrow Pointe Ln, Columbia, SC 29203","https://www.zillow.com/homedetails/124-Farrow-Pointe-Ln-Columbia-SC-29203/121961182_zpid/"
"74","0%","242000","241300","-700","3","2","1642","147","House for sale","260 Woodwinds Dr, Columbia, SC 29212","https://www.zillow.com/homedetails/260-Woodwinds-Dr-Columbia-SC-29212/11193155_zpid/"
"75","0%","235000","234300","-700","3","3","1690","139","House for sale","319 Brook Hollow Dr, Columbia, SC 29229","https://www.zillow.com/homedetails/319-Brook-Hollow-Dr-Columbia-SC-29229/11732221_zpid/"
"76","0%","194900","194300","-600","3","2","1276","153","House for sale","351 Elders Pond Cir, Columbia, SC 29229","https://www.zillow.com/homedetails/351-Elders-Pond-Cir-Columbia-SC-29229/71270894_zpid/"
"77","0%","162000","161500","-500","2","2","1092","148","House for sale","125 Cedar Glen Ln, Columbia, SC 29223","https://www.zillow.com/homedetails/125-Cedar-Glen-Ln-Columbia-SC-29223/71271635_zpid/"
"78","0%","255500","254700","-800","3","3","1704","150","House for sale","1075 Belmont Green Rd, Columbia, SC 29209","https://www.zillow.com/homedetails/1075-Belmont-Green-Rd-Columbia-SC-29209/2061992113_zpid/"
